SPP,Pheno_ID,Year,Observer,NOTES,P2,P2_Cert,P3,P3_Cert,P4,P4_Cert,P5,P5_Cert,P6,P6_Cert,Q1,Q1_Cert,Q2,Q2_Cert
DRYINT,Phenocam 1,2019,Elise Gallois,Gaps between 22nd June - 15th July. NOTE: Camera labelled Slump D1 but actually phenocam 1,19/06/2019,4,21/06/2019,4,NA,NA,23/07/2019,3,27/07/2019,3,10,5,NA,NA
DRYINT,Phenocam 2,2019,Elise Gallois,Limited selection (4th-12th August)- no phenophases can be noted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRYINT,Phenocam 4,2019,Elise Gallois,"Limited selection (20th July - 13th August), gaps between 21st July - 9th Aug -  no phenophases can be noted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRYINT,Phenocam 1,2018,Elise Gallois,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRYINT,Phenocam 2,2018,Elise Gallois,"Gap 15th-21st July, ends 9th August",02/07/2018,4,04/07/2018,5,31/07/2018,3,31/07/2018,5,NA,NA,50,4,106,4
DRYINT,Phenocam 3,2018,Elise Gallois,Ends 8th Aug - lots of senescence phenophases hadn't happened yet,09/07/2018,4,13/07/2018,5,31/07/2018,5,31/07/2018,4,NA,NA,20,4,2,5
DRYINT,Phenocam 4,2018,Elise Gallois,Very limited selection - 12 Jun to 11 July,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRYINT,Phenocam 5,2018,Elise Gallois,,09/07/2018,4,13/07/2018,5,NA,NA,NA,NA,NA,NA,NA,NA,38,4
DRYINT,Phenocam 6,2018,Elise Gallois,Big gap between 5th July and 12th August,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRYINT,Phenocam 1,2017,Elise Gallois,,20/06/2017,4,22/06/2017,5,15/07/2017,4,08/07/2017,3,18/07/2017,5,20,4,12,5
DRYINT,Phenocam 2,2017,Elise Gallois,"Gaps from 4th June - 11th June, 16th June - 7th Aug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRYINT,Phenocam 3,2017,Elise Gallois,Gaps from17th July - 01 August,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRYINT,Phenocam 4,2017,Elise Gallois,"Limited selection (10th July to 9th August), Gaps from 10th-20th July, 20th July-2nd August",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRYINT,Phenocam 5,2017,Elise Gallois,Gaps between 6th-15th June as phenocam knocked down,16/06/2017,3,18/06/2017,5,18/07/2017,5,12/07/2017,5,21/07/2017,5,40,4,10,3
DRYINT,Phenocam 6,2017,Elise Gallois,Gaps between 27th June - 25th July,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRYINT,Phenocam 1,2016,Elise Gallois,Only starts 19th June so many phenophases missed,NA,NA,28/06/2016,4,15/07/2016,5,15/07/2016,4,18/07/2016,3,10,5,5,4
DRYINT,Phenocam 2,2016,Elise Gallois,Only starts 19th June so many phenophases missed,22/06/2016,3,25/06/2016,4,13/07/2016,3,12/07/2016,4,28/07/2016,4,10,4,9,5
DRYINT,Phenocam 3,2016,Elise Gallois,"Limited selection (5th July to 12th August), Gaps from 8th July - 28th August",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRYINT,Phenocam 4,2016,Elise Gallois,"Limited selection (14th July - 31st Aug), gap between 18th - 28th jul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRYINT,Phenocam 5,2016,Elise Gallois,"Limited selection (23rd July - 26th Aug), gaps 29th July-28th Aug",NA,NA,NA,NA,NA,NA,NA,NA,24/07/2016,4,30,4,NA,NA
DRYINT,Phenocam 6,2016,Elise Gallois,"Limited selection (24th-Jul - 1st September), gaps 24th July - 16th August",NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,NA,NA