SPP,Pheno_ID,Year,Observer,NOTES,P2,P2_Cert,Q2,Q2_Cert
ERIVAG,Phenocam 1,2019,Elise Gallois,Gaps between 22nd June - 15th July. NOTE: Camera labelled Slump D1 but actually phenocam 1,NA,NA,NA,NA
ERIVAG,Phenocam 2,2019,Elise Gallois,Limited selection (4th-12th August)- no phenophases can be noted,NA,NA,NA,NA
ERIVAG,Phenocam 4,2019,Elise Gallois,"Limited selection (20th July - 13th August), gaps between 21st July - 9th Aug -  no phenophases can be noted",NA,NA,NA,NA
ERIVAG,Phenocam 1,2018,Elise Gallois,,11/06/2018,4,24,5
ERIVAG,Phenocam 2,2018,Elise Gallois,"Gap 15th-21st July, ends 9th August",NA,NA,NA,NA
ERIVAG,Phenocam 3,2018,Elise Gallois,Ends 8th Aug - lots of senescence phenophases hadn't happened yet,NA,NA,NA,NA
ERIVAG,Phenocam 4,2018,Elise Gallois,Very limited selection - 12 Jun to 11 July,NA,NA,NA,NA
ERIVAG,Phenocam 5,2018,Elise Gallois,,,,,
ERIVAG,Phenocam 6,2018,Elise Gallois,Big gap between 5th July and 12th August,11/06/2018,3,15,5
ERIVAG,Phenocam 1,2017,Elise Gallois,,NA,NA,NA,NA
ERIVAG,Phenocam 2,2017,Elise Gallois,"Gaps from 4th June - 11th June, 16th June - 7th Aug",NA,NA,NA,NA
ERIVAG,Phenocam 3,2017,Elise Gallois,Gaps from17th July - 01 August,10/06/2017,3,19,5
ERIVAG,Phenocam 4,2017,Elise Gallois,"Limited selection (10th July to 9th August), Gaps from 10th-20th July, 20th July-2nd August",NA,NA,NA,NA
ERIVAG,Phenocam 5,2017,Elise Gallois,Gaps between 6th-15th June as phenocam knocked down,NA,NA,NA,NA
ERIVAG,Phenocam 6,2017,Elise Gallois,Gaps between 27th June - 25th July,06/06/2017,3,54,5
ERIVAG,Phenocam 1,2016,Elise Gallois,Only starts 19th June so many phenophases missed,NA,NA,NA,NA
ERIVAG,Phenocam 2,2016,Elise Gallois,Only starts 19th June so many phenophases missed,NA,NA,NA,NA
ERIVAG,Phenocam 3,2016,Elise Gallois,"Limited selection (5th July to 12th August), Gaps from 8th July - 28th August",NA,NA,14,5
ERIVAG,Phenocam 4,2016,Elise Gallois,"Limited selection (14th July - 31st Aug), gap between 18th - 28th jul",NA,NA,NA,NA
ERIVAG,Phenocam 5,2016,Elise Gallois,"Limited selection (23rd July - 26th Aug), gaps 29th July-28th Aug",NA,NA,NA,NA
ERIVAG,Phenocam 6,2016,Elise Gallois,"Limited selection (24th-Jul - 1st September), gaps 24th July - 16th August",NA,NA,21,4